COUNTRY,TREES PLANTED,CODE,
United States of America,8935154,USA,
Canada,"320,000",CAN,
Haiti,850000,HTI,
Nicaragua,975000,NIC,
Burundi,100000,BDI,
Chad,1280000,TCD,
Senegal,3270000,SEN,
Mali,1280000,MLI,
Kenya,950000,KEN,
Madagascar,1000000,MDG,
Mozambique,925007,MOZ,
Sierra Leone,100000,SLE,
China,25000,CHN,
India,905439,IND,
Indonesia,905439,IDN,
Nepal,885000,NPL,
Thailand,50000,THA,
Turkey,110000,TUR,
Australia,275000,AUS,
France,150000,FRA,
Ireland,100000,IRL,
Portugal,10000,PRT,
Spain,4200,ESP,
United Kingdom,144000,GBR,
Argentina,60000,ARG,
Bolivia,60000,BOL,
Chile,60000,CHL,
Ecuador,60000,ECU,
Peru,185800,PER,
Brazil,770000,BRA,